TAP091	2	259.70 	2.38 	5.22 	6.94 	121.59	25.06		
TAP090	2	259.74 	3.20 	7.00 	6.14 	121.60	25.06		
ILA023	2	222.81 	2.38 	5.34 	4.36 	121.61	24.68		
HWA009	2	161.83 	2.46 	7.32 	7.46 	121.62	23.99		
HWA026	2	172.41 	2.18 	3.60 	4.10 	121.62	24.12		
HWA057	2	175.73 	1.10 	4.34 	2.80 	121.62	24.16		
HWA062	2	160.64 	3.22 	5.66 	6.08 	121.62	23.98		
HWA012	2	162.36 	2.40 	4.58 	5.50 	121.63	23.99		
HWA046	2	175.22 	2.78 	4.42 	4.38 	121.63	24.15		
ILA020	2	231.36 	1.24 	3.34 	2.74 	121.64	24.75		
HWA025	2	177.93 	2.00 	4.16 	4.98 	121.65	24.16		
ILA022	2	223.81 	2.08 	2.66 	3.44 	121.65	24.67		
ILA051	2	230.30 	1.76 	3.56 	5.82 	121.68	24.72		
ILA016	2	233.55 	2.54 	6.56 	6.42 	121.69	24.75		
ILA017	2	230.78 	1.46 	2.52 	4.02 	121.69	24.72		
ILA018	2	226.94 	1.90 	4.52 	3.74 	121.69	24.68		
TAP057	2	266.12 	1.44 	4.34 	3.92 	121.69	25.08		
ILA019	2	223.73 	2.06 	4.18 	4.92 	121.70	24.64		
ILA037	2	234.81 	2.66 	6.98 	6.64 	121.72	24.74		
ILA014	2	230.20 	2.64 	3.42 	5.18 	121.73	24.69		
ILA039	2	237.08 	2.56 	6.50 	4.84 	121.73	24.76		
ILA012	2	239.13 	2.58 	7.70 	5.30 	121.74	24.78		
ILA038	2	233.68 	3.74 	5.82 	6.68 	121.74	24.72		
ILA046	2	228.43 	2.00 	3.52 	4.14 	121.74	24.66		
ILA053	2	197.86 	4.44 	4.68 	5.96 	121.74	24.33		
TAP075	2	262.93 	1.52 	3.36 	2.32 	121.74	25.03		
HWA045	2	196.64 	2.76 	4.30 	4.36 	121.75	24.31		
ILA029	2	239.09 	3.02 	6.40 	6.24 	121.75	24.77		
ILA050	2	207.00 	1.52 	4.72 	3.42 	121.75	24.43		
ILA036	2	240.83 	2.34 	6.32 	4.96 	121.76	24.79		
ILA049	2	238.42 	3.44 	4.56 	5.20 	121.76	24.76		
ILA008	2	233.92 	2.28 	5.58 	5.86 	121.77	24.71		
ILA026	2	230.88 	3.40 	7.48 	7.58 	121.77	24.67		
ILA027	2	232.00 	2.34 	6.48 	5.94 	121.77	24.69		
ILA035	2	244.65 	2.10 	3.90 	4.52 	121.77	24.82		
ILA065	2	212.73 	3.30 	4.58 	4.28 	121.78	24.47		
TAP103	2	269.30 	1.10 	5.26 	3.80 	121.78	25.07		
ILA003	2	243.26 	2.28 	6.32 	5.06 	121.79	24.80		
ILA047	2	229.31 	2.18 	5.96 	7.08 	121.79	24.64		
ILA064	2	213.61 	2.16 	4.74 	3.06 	121.79	24.47		
ILA002	2	248.50 	1.44 	5.04 	3.46 	121.80	24.84		
ILA041	2	236.90 	1.90 	6.70 	7.74 	121.80	24.72		
ILA042	2	233.62 	1.78 	5.46 	7.34 	121.80	24.69		
ILA062	2	213.70 	2.84 	5.72 	4.84 	121.80	24.47		
ILA055	2	239.12 	2.78 	6.22 	7.30 	121.82	24.74		
ILA006	2	231.16 	3.16 	6.14 	6.44 	121.83	24.64		
ILA032	2	229.65 	1.62 	3.00 	3.78 	121.83	24.62		
ILA033	2	251.60 	1.30 	5.36 	5.10 	121.83	24.86		
ILA059	2	233.33 	1.90 	3.88 	5.14 	121.83	24.67		
