  sec     BH1    BH2      BHZ
8.650	-253938	205097	-329263					
8.700	-253986	204594	-329229					
8.750	-253983	203820	-329107					
8.800	-253946	202880	-328759					
8.850	-253881	201892	-328293					
8.900	-253744	200926	-327861					
8.950	-253583	200057	-327617					
9.000	-253375	199289	-327588					
9.050	-253140	198476	-327729					
9.100	-253013	197600	-327780					
9.150	-252979	196795	-327621					
9.200	-252948	196144	-327436					
9.250	-252912	195673	-327306					
9.300	-252815	195220	-327345					
9.350	-252645	194824	-327462					
9.400	-252607	194631	-327425					
9.450	-252864	194571	-327225					
9.500	-253382	194511	-327079					
9.550	-253929	194416	-327037					
9.600	-254334	194295	-326876					
9.650	-254643	194024	-326550					
9.700	-254924	193597	-326012					
9.750	-255413	193221	-325250					
9.800	-256159	193073	-324469					
9.850	-256950	193069	-323818					
9.900	-257760	192936	-323193					
9.950	-258604	192658	-322437					
10.000	-259405	192436	-321639					
10.050	-260140	192352	-320909					
10.100	-260869	192340	-320243					
10.150	-261565	192330	-319613					
10.200	-262241	192393	-318901					
10.250	-262937	192556	-318157					
10.300	-263579	192756	-317643					
10.350	-264165	193041	-317403					
10.400	-264618	193406	-317404					
10.450	-264799	193842	-317491					
10.500	-264759	194418	-317374					
10.550	-264619	195117	-317242					
10.600	-264384	195825	-317435					
10.650	-264011	196402	-317841					
10.700	-263489	196877	-318220					
10.750	-262824	197362	-318577					
10.800	-261985	197870	-319029					
10.850	-261014	198368	-319684					
10.900	-259926	198733	-320542					
10.950	-258736	198932	-321481					
11.000	-257655	199048	-322428					
11.050	-256681	199076	-323414					
11.100	-255635	199076	-324439					
11.150	-254496	199105	-325523					
11.200	-253320	199140	-326723					
11.250	-252136	199156	-327920					
11.300	-250970	199122	-328984					
11.350	-249926	199010	-329967					
11.400	-249016	198882	-331040					
11.450	-248187	198828	-332286					
11.500	-247380	198841	-333463					
11.550	-246559	198881	-334225					
11.600	-245859	198941	-334593					
11.650	-245339	199094	-334864					
11.700	-244888	199248	-335231					
11.750	-244484	199247	-335535					
11.800	-244247	199176	-335515					
11.850	-244274	199099	-335217					
11.900	-244491	199087	-334677					
11.950	-244855	199231	-333863					
12.000	-245439	199448	-332919					
12.050	-246166	199502	-332002					
12.100	-246922	199237	-331130					
12.150	-247736	198803	-330105					
12.200	-248686	198394	-328824					
12.250	-249807	198057	-327512					
12.300	-250959	197693	-326356					
12.350	-252032	197212	-325336					
12.400	-253071	196733	-324427					
12.450	-254191	196337	-323649					
12.500	-255512	195952	-323026					
12.550	-256905	195493	-322487					
12.600	-258180	195029	-321922					
12.650	-259326	194718	-321561					
12.700	-260344	194594	-321597					
12.750	-261228	194601	-321819					
12.800	-262079	194620	-322113					
12.850	-262993	194625	-322383					
12.900	-263813	194632	-322559					
12.950	-264457	194738	-322751					
13.000	-265151	195168	-323059					
13.050	-265976	195815	-323456					
13.100	-266739	196510	-323729					
13.150	-267357	197237	-323876					
13.200	-267922	197974	-323995					
13.250	-268461	198732	-324052					
13.300	-268947	199335	-324032					
13.350	-269421	199765	-323927					
13.400	-269902	200195	-323761					
13.450	-270307	200666	-323609					
13.500	-270568	201168	-323609					
13.550	-270649	201587	-323786					
13.600	-270556	201777	-323938					
13.650	-270328	201748	-323850					
13.700	-270070	201595	-323563					
13.750	-269899	201375	-323307					
13.800	-269718	201114	-323324					
13.850	-269302	200659	-323522					
13.900	-268552	199919	-323628					
13.950	-267606	199042	-323658					
14.000	-266671	198188	-323678					
14.050	-265794	197395	-323734					
14.100	-264812	196576	-323889					
14.150	-263643	195717	-324048					
14.200	-262399	194871	-324140					
14.250	-261101	194129	-324298					
14.300	-259797	193578	-324512					
14.350	-258498	193065	-324700					
14.400	-257058	192446	-324873					
14.450	-255408	191855	-325030					
14.500	-253672	191435	-325225					
14.550	-252117	191204	-325434					
14.600	-250785	191106	-325587					
14.650	-249501	191045	-325708					
14.700	-248089	191021	-325937					
14.750	-246543	191062	-326208					
14.800	-245048	191189	-326378					
14.850	-243673	191396	-326473					
14.900	-242445	191536	-326509					
14.950	-241372	191653	-326605					
15.000	-240403	191867	-326711					
15.050	-239456	192167	-326615					
15.100	-238549	192626	-326371					
15.150	-237859	193245	-326170					
15.200	-237481	193854	-326060					
15.250	-237365	194239	-326002					
15.300	-237378	194395	-325933					
15.350	-237553	194539	-325753					
15.400	-237956	194815	-325522					
15.450	-238446	195149	-325364					
15.500	-239078	195392	-325299					
15.550	-239914	195605	-325266					
15.600	-240917	195901	-325237					
15.650	-242101	196250	-325281					
15.700	-243455	196699	-325329					
15.750	-244971	197147	-325355					
15.800	-246516	197445	-325372					
15.850	-248058	197775	-325296					
15.900	-249742	198230	-325272					
15.950	-251541	198651	-325541					
16.000	-253335	198942	-325965					
16.050	-255024	199248	-326156					
16.100	-256498	199694	-325971					
16.150	-257876	200200	-325675					
16.200	-259326	200636	-325550					
16.250	-260760	200878	-325515					
16.300	-262034	200999	-325382					
16.350	-263023	201057	-325328					
16.400	-263895	201228	-325361					
16.450	-265143	201285	-325852					
16.500	-267586	200770	-328056					
16.550	-272900	199136	-334296					
16.600	-284779	195033	-349842					
16.650	-309452	186964	-382428					
16.700	-350238	173184	-438651					
16.750	-392302	157857	-501575					
16.800	-401137	151915	-522268					
16.850	-381705	160630	-485496					
16.900	-428027	155539	-507700					
16.950	-611087	92375	-734293					
17.000	-802583	-6195	-1036470					
17.050	-754865	-25221	-1021750					
17.100	-460056	115130	-539335					
17.150	-234064	276159	-56507					
17.200	-302124	236085	-120063					
17.250	-563035	8920	-567804					
17.300	-773195	-149082	-782793					
17.350	-792117	-61048	-595479					
17.400	-680334	172482	-429555					
17.450	-530654	330727	-424112					
17.500	-379951	278857	-311884					
17.550	-310128	129410	-124612					
17.600	-318243	61627	-60996					
17.650	-275321	99568	-64581					
17.700	-164051	212452	51867					
17.750	-44530	314443	236297					
17.800	36796	324861	293640					
17.850	17527	263839	230790					
17.900	-60941	275793	193283					
17.950	-120864	367785	217499					
18.000	-295623	327530	-27953					
18.050	-652991	157846	-696750					
18.100	-923766	-10858	-1312553					
18.150	-1053773	-70502	-1574481					
18.200	-1173982	21954	-1568911					
18.250	-1326555	42910	-1672455					
18.300	-1612634	-160836	-2191020					
18.350	-1901268	-479885	-2621314					
18.400	-2140323	-706250	-2664734					
18.450	-2407091	-776265	-2679888					
18.500	-2755933	-816659	-2911495					
18.550	-3352882	-889392	-3376617					
18.600	-3999514	-1073871	-3867773					
18.650	-4522621	-1288100	-4384099					
18.700	-4809088	-1351340	-4778531					
18.750	-4705967	-1283533	-4599914					
18.800	-4396227	-1204129	-3985799					
18.850	-3778064	-1244393	-3047193					
18.900	-3004169	-1271047	-1776733					
18.950	-2395909	-1100031	-420530					
19.000	-1696592	-758628	1046563					
19.050	-1142890	-359345	2277568					
19.100	-1052025	-82672	2784408					
19.150	-1189017	-15776	2551510					
19.200	-1216315	57000	2021320					
19.250	-834340	397804	2042327					
19.300	-138808	909239	2522782					
19.350	504636	1205068	2641389					
19.400	652061	1019836	1994291					
19.450	412212	528598	908084					
19.500	538287	197667	563281					
19.550	1268726	446778	1611353					
19.600	2132903	1079598	3147648					
19.650	2560342	1439957	3927921					
19.700	2223952	1128933	3814779					
19.750	1289163	529360	3367612					
19.800	308476	449817	2914709					
19.850	-365843	902477	2475718					
19.900	-586283	1382903	1912241					
19.950	-535077	1488717	1216818					
20.000	-585885	1061290	380062					
20.050	-691039	368318	-695262					
20.100	-834486	-158260	-1766945					
20.150	-1291124	-535618	-2773101					
20.200	-1987581	-1122220	-3995807					
20.250	-2474378	-1853110	-4947169					
20.300	-2806184	-2307654	-4971302					
20.350	-3417493	-2315266	-4594877					
20.400	-4359760	-2181669	-4734584					
20.450	-5168710	-2143504	-5080375					
20.500	-5543891	-2231616	-4943457					
20.550	-5608738	-2255151	-4613907					
20.600	-5255170	-2019287	-4025682					
20.650	-4701967	-1577555	-2969556					
20.700	-4180103	-1048605	-1656224					
20.750	-3468338	-669222	-255599					
20.800	-2849646	-527539	633959					
20.850	-2766784	-594485	681320					
20.900	-3117878	-634459	56928					
20.950	-3467628	-487491	-703943					
21.000	-3724913	-260718	-1349432					
21.050	-3776026	-74951	-2121421					
21.100	-3397601	-152397	-2866369					
21.150	-2857004	-409126	-3315502					
21.200	-2247006	-619495	-3168191					
21.250	-1664663	-831388	-2821646					
21.300	-1345060	-1193721	-2864206					
21.350	-1225498	-1635881	-2808119					
21.400	-1420370	-1924325	-2306107					
21.450	-2235460	-1971676	-1992253					
21.500	-3520087	-1829222	-2281431					
21.550	-4726627	-1558743	-2446263					
21.600	-5499741	-1163850	-1804372					
21.650	-5708757	-679763	-540364					
21.700	-5380737	-200289	801033					
21.750	-4753965	177684	2070368					
21.800	-4269442	369524	3235075					
21.850	-3973836	266266	4048105					
21.900	-3821304	-5505	4460502					
21.950	-3910037	-161445	4383787					
22.000	-3881519	-227312	3871592					
22.050	-3888265	-387348	2850491					
22.100	-4181618	-669043	1540786					
22.150	-4355925	-898549	617809					
22.200	-4142011	-1005965	111480					
22.250	-3429058	-1045606	-69597					
22.300	-2174596	-1005771	128556					
22.350	-840532	-904897	851418					
22.400	26171	-784465	1956098					
22.450	647655	-824957	2723986					
22.500	919706	-1081632	2904872					
22.550	398509	-1238885	2649573					
22.600	-625907	-1138719	1846959					
22.650	-1727875	-958184	573800					
22.700	-2058328	-675832	64046					
22.750	-1153904	17283	1353166					
22.800	107643	852898	3126328					
22.850	1343408	1082045	3885057					
22.900	2590508	602172	4072705					
22.950	3342151	-31630	4372049					
23.000	3572310	-377042	4379887					
23.050	3787032	-275827	3478387					
23.100	3928696	292746	2256715					
23.150	3680592	914267	1454454					
23.200	3253411	1214398	632458					
23.250	3014430	1301272	-139772					
23.300	3297788	1407725	84292					
23.350	3784698	1670058	1112236					
23.400	3931507	1786681	1759562					
23.450	4055740	1568718	1894692					
23.500	4101374	1206546	2242648					
23.550	3765206	1010869	2689097					
23.600	3388599	1260636	2738319					
23.650	3066875	1571355	2651425					
23.700	2329761	1455037	2503639					
23.750	1058062	976676	1400721					
23.800	-80157	557092	-834111					
23.850	-634490	601880	-2381269					
23.900	-654279	1007606	-2451566					
23.950	-192662	1274344	-2455086					
24.000	608978	941773	-2209227					
24.050	1580571	104512	-615703					
24.100	2258166	-890690	1199774					
24.150	2075869	-1867801	1494276					
24.200	1257349	-2413775	883454					
24.250	563253	-2238988	1417373					
24.300	125827	-1522421	2829623					
24.350	-261030	-577769	3367751					
24.400	-475578	228292	2997046					
24.450	-865870	585408	2093645					
24.500	-1149985	483401	754083					
24.550	-633683	143870	-425028					
24.600	351259	50204	-808968					
24.650	1733826	438886	150161					
24.700	2953538	789305	1637818					
24.750	3235095	938654	2361155					
24.800	3119045	1140516	2532478					
24.850	3065445	1380105	2611363					
24.900	3017060	1670757	2570436					
24.950	3054909	2052334	2386010					
25.000	3242058	2441212	2356001					
25.050	3059800	2507186	2233220					
25.100	2226893	2187126	1401432					
25.150	1436912	1661669	292653					
25.200	1239981	1026862	-512934					
25.250	1703531	636406	-658360					
25.300	2378147	378806	-587505					
25.350	2927896	-150940	-1065646					
25.400	3643484	-644069	-1077764					
25.450	4062598	-811846	-207725					
25.500	3463596	-926762	60595					
25.550	2151130	-1214765	-791990					
25.600	497891	-1501961	-1676644					
25.650	-968877	-1507357	-1460977					
25.700	-1600394	-1289611	-546022					
25.750	-1886451	-1164268	-499422					
25.800	-2428875	-1393253	-1943354					
25.850	-2675222	-1879511	-3692078					
25.900	-1778099	-2071615	-3699476					
25.950	-443821	-1584649	-2130941					
26.000	139356	-865892	-1159342					
26.050	166155	-768628	-1078297					
26.100	-358461	-1404476	-930835					
26.150	-1334850	-2069688	-403373					
26.200	-2214482	-2114996	123691					
26.250	-3282205	-1479641	-112936					
26.300	-4608631	-640595	-1377232					
26.350	-5601201	-214296	-3192741					
26.400	-6003767	-373746	-4703605					
26.450	-5800006	-535081	-5698463					
26.500	-4575513	-414510	-6131301					
26.550	-2897395	-531301	-5741157					
26.600	-2200779	-993442	-4909438					
26.650	-2406198	-1467725	-3766369					
26.700	-3013705	-2092542	-2476541					
26.750	-4084531	-2963050	-1792292					
26.800	-5237427	-3679453	-1968927					
26.850	-6101767	-4210187	-2615147					
26.900	-6528059	-4700006	-3115746					
26.950	-6533304	-4970970	-3610261					
27.000	-6462086	-4991313	-4671714					
27.050	-6187140	-4654314	-5522135					
27.100	-5346855	-3612449	-4918694					
27.150	-4130865	-1917898	-2827665					
27.200	-3119320	-288182	-285852					
27.250	-3024496	589223	1605309					
27.300	-3853432	517970	2617426					
27.350	-5021490	-121819	2933006					
27.400	-6084363	-496649	2614834					
27.450	-6484770	-150190	2078267					
27.500	-6125575	660946	1910106					
27.550	-5698156	1295760	2005551					
27.600	-5596080	1241761	1852693					
27.650	-5525256	464170	1529711					
27.700	-5099467	-522266	1284162					
27.750	-4173666	-1184468	1199924					
27.800	-3114563	-1725998	1411713					
27.850	-2482717	-2374408	1516353					
