測站代碼 測站名稱 震度值 震央距(Km) 垂直向(gal) 南北向(gal) 東西向(gal) TWD97經度 TWD97緯度
TTN012 新生國小 4 124.70 13.76 20.82 25.90 121.14 22.76
TTN013 馬蘭國小 3 124.37 7.66 16.44 16.14 121.14 22.77
TTN015 台東氣象站 4 126.27 14.06 30.68 25.42 121.15 22.75
TTN048 豐田國中 3 122.47 18.12 24.28 23.62 121.09 22.77
TTN049 豐源國小 6 127.48 .00 90.32 250.74 121.11 22.73
CHK 成功氣象站 4 100.50 22.01 42.11 43.54 121.37 23.10
TTN014 成功氣象站 4 100.50 25.18 43.60 49.16 121.37 23.10
TTN018 台東１ 4 117.29 13.94 22.08 34.52 121.08 22.82
TTN047 利吉國小 4 116.65 .00 25.50 25.05 121.14 22.84
TTN002 東河國小 4 109.13 15.80 25.36 25.54 121.30 22.97
TTN042 泰源國小 4 105.47 19.62 56.40 57.54 121.29 23.00
TTN046 尚德國小 5 107.21 19.44 65.14 111.68 121.24 22.96
TTN001 長濱國小 5 87.27 38.88 60.84 94.32 121.45 23.32
TTN040 廣原國小 4 86.99 21.18 30.98 30.74 121.21 23.15
TTN041 初來國小新武分校 4 85.31 38.88 64.24 79.14 121.13 23.13
TTN004 鹿野國小 4 109.04 26.56 42.70 38.64 121.14 22.91
TTN045 瑞源國中 4 102.89 16.44 32.96 39.24 121.16 22.97
TTN044 電光國小 4 100.16 32.06 54.84 49.22 121.17 23.01
LAY 蘭嶼氣象站 3 214.55 2.87 11.01 9.57 121.56 22.04
CHY071 安佃國小 4 109.67 14.90 52.88 77.28 120.17 23.06
CHY070 德高國小 4 115.15 16.62 47.56 38.04 120.24 22.96
CHY069 日新國小 4 116.84 24.64 38.10 43.30 120.19 22.97
CHY059 後港國小頂山分校 4 103.80 15.62 47.20 46.48 120.11 23.18
CHY017 中營國小 4 90.05 29.54 54.14 51.20 120.28 23.21
CHY057 嗚頭國小 4 88.16 21.18 52.70 38.64 120.42 23.15
