Origin Time:2018/02/06 23:50:42
Lon:121.69°E
Lat:24.14°N
Depth:10.0km
Mag:6.0
Stacode=NSY ,Staname=三義  ,Stalon=120.77,Stalat=24.41,Dist=  98.22,AZ=107.84,PGA(V)=   3.41,PGA(NS)=   5.56,PGA(EW)=   3.59
Stacode=NML ,Staname=苗栗市,Stalon=120.83,Stalat=24.57,Dist=  99.43,AZ=118.06,PGA(V)=   4.43,PGA(NS)=   5.32,PGA(EW)=   4.97
Stacode=NHY ,Staname=信義區,Stalon=121.57,Stalat=25.04,Dist= 100.24,AZ=172.96,PGA(V)=   5.86,PGA(NS)=   8.91,PGA(EW)=  10.83
Stacode=TWB1,Staname=三貂角,Stalon=122.00,Stalat=25.01,Dist= 100.63,AZ=197.98,PGA(V)=   1.56,PGA(NS)=   1.91,PGA(EW)=   3.29
Stacode=TAP ,Staname=臺北市,Stalon=121.51,Stalat=25.04,Dist= 100.69,AZ=169.77,PGA(V)=   4.67,PGA(NS)=   8.97,PGA(EW)=   6.34
Stacode=WWF ,Staname=霧峰  ,Stalon=120.70,Stalat=24.04,Dist= 101.48,AZ= 83.74,PGA(V)=   4.37,PGA(NS)=  10.65,PGA(EW)=   9.75
Stacode=NGL ,Staname=貢寮  ,Stalon=121.92,Stalat=25.04,Dist= 101.95,AZ=193.34,PGA(V)=   1.62,PGA(NS)=   3.11,PGA(EW)=   2.57
Stacode=TCU ,Staname=臺中市,Stalon=120.68,Stalat=24.15,Dist= 102.29,AZ= 90.19,PGA(V)=   2.63,PGA(NS)=   6.28,PGA(EW)=   6.22
Stacode=HSN ,Staname=竹北市,Stalon=121.01,Stalat=24.83,Dist= 102.30,AZ=137.93,PGA(V)=   4.37,PGA(NS)=  10.05,PGA(EW)=  11.31
Stacode=NTY ,Staname=桃園市,Stalon=121.31,Stalat=25.00,Dist= 102.40,AZ=157.69,PGA(V)=   3.05,PGA(NS)=   7.60,PGA(EW)=   6.58
Stacode=NJN ,Staname=竹南  ,Stalon=120.87,Stalat=24.68,Dist= 102.51,AZ=125.77,PGA(V)=   3.23,PGA(NS)=   8.08,PGA(EW)=   7.18
Stacode=NWF ,Staname=五分山,Stalon=121.78,Stalat=25.07,Dist= 103.31,AZ=185.07,PGA(V)=   4.19,PGA(NS)=  14.89,PGA(EW)=  15.67
Stacode=NCU ,Staname=中壢  ,Stalon=121.19,Stalat=24.97,Dist= 104.25,AZ=151.19,PGA(V)=   4.49,PGA(NS)=   8.43,PGA(EW)=   8.97
Stacode=WNT ,Staname=名間  ,Stalon=120.69,Stalat=23.88,Dist= 105.72,AZ= 73.82,PGA(V)=   5.56,PGA(NS)=   5.68,PGA(EW)=   6.76
Stacode=WNT1,Staname=南投市,Stalon=120.68,Stalat=23.91,Dist= 106.06,AZ= 75.74,PGA(V)=   5.50,PGA(NS)=   8.37,PGA(EW)=   6.82
Stacode=WYP ,Staname=外埔  ,Stalon=120.65,Stalat=24.33,Dist= 107.42,AZ=101.33,PGA(V)=   3.05,PGA(NS)=   5.32,PGA(EW)=   5.26
Stacode=TWS1,Staname=五股  ,Stalon=121.42,Stalat=25.10,Dist= 109.60,AZ=165.71,PGA(V)=   3.35,PGA(NS)=   5.26,PGA(EW)=   2.93
Stacode=NOU ,Staname=基隆市,Stalon=121.77,Stalat=25.15,Dist= 111.81,AZ=184.29,PGA(V)=   1.97,PGA(NS)=   4.01,PGA(EW)=   3.35
Stacode=ALS ,Staname=阿里山,Stalon=120.81,Stalat=23.51,Dist= 113.68,AZ= 51.83,PGA(V)=   3.41,PGA(NS)=   7.18,PGA(EW)=   8.85
Stacode=WYL ,Staname=員林  ,Stalon=120.58,Stalat=23.96,Dist= 114.72,AZ= 79.87,PGA(V)=   6.76,PGA(NS)=  14.24,PGA(EW)=  13.52
Stacode=WES ,Staname=二水  ,Stalon=120.62,Stalat=23.81,Dist= 115.17,AZ= 71.40,PGA(V)=   4.31,PGA(NS)=   7.18,PGA(EW)=   9.03
Stacode=WDD ,Staname=大肚  ,Stalon=120.56,Stalat=24.13,Dist= 115.22,AZ= 89.56,PGA(V)=   3.71,PGA(NS)=   9.93,PGA(EW)=  11.78
Stacode=WCH ,Staname=彰化市,Stalon=120.56,Stalat=24.08,Dist= 115.44,AZ= 86.65,PGA(V)=   5.62,PGA(NS)=  10.83,PGA(EW)=  11.78
